Full Name,IATA Prefix Code,Remarks / Notes,ICAO Code,ICAO Callsign,Country,IATA Code,IATA Accounting Code
"State Unitary Enterprise Orenburg Region, International Airport Orenburg",,,ORG,Orenavia,Russian Federation,07,
Blue Air Aviation S.A.,475,Name changed from Blue Air - Airline Management Solution S.R.L. w.e.f. 03 August 2018.,BMS,Blue Messanger,Romania,0B,475
Premium Jet AG,254,,PJZ,Primejet,Switzerland,0J,
Hydro-Quebec,,,HYD,Hydro,Canada,0Q,
Amadeus IT Group SA.,,"Changed from Amadeus Marketing S.A. Name changed from Amadeus Global Travel Distribution, S.A.Computer Reservation System",AGT,Amadeus,Spain,1A,790
Sabre Asia Pacific Pte. Ltd.,,Name changed from Abacus International Pte. Ltd.Computer Reservation System,,,Singapore,1B,776
Hewlett-Packard (Schweiz) GmbH,,Name changed from EDS Information Business GmbH.Computer Reservation System,,,Switzerland,1C,
"Radixx Solutions International, Inc.",,Computer Reservation System,,,United States of America,1D,
Travelsky Technology Limited,,Name changed from Management Information System - Civil Aviation Administration of ChinaComputer Reservation System,,,China,1E,
"INFINI Travel Information, Inc.",,Computer Reservation System,,,Japan,1F,788
Travelport d/b/a Worldspan,,Name changed from Travelport Global Distribution System B.V.Computer Reservation System,,,United States of America,1G,773
Siren-Travel Closed Joint Stock Company,,"Name changed from Comtech-N, JSCComputer Reservation System",,,Russian Federation,1H,446
"Netjets Aviation, Inc.",,"Name changed from Executive Jet Aviation, Inc.",EJA,Execjet,United States of America,1I,
Sierra Nevada Airways,,,,,United States of America,1I,
"Axess International Network, Inc.",,Computer Reservation System,,,Japan,1J,835
Sutra Inc,,Computer Reservation System,,,Canada,1K,
CitizenPlane,,Computer Reservation System,,,France,1L,
JSC Transport Automated Information Systems - TAIS,,Designator 1M reinstated by IATAComputer Reservation System,,,Russian Federation,1M,538
Navitaire,,Name changed from Via World NetworkComputer Reservation System,,,United States of America,1N,892
Travelport d/b/a WorldSpan,,Computer Reservation System,WSP,,United States of America,1P,523
InteliSys Aviation Systems (2013) Inc,,Computer Reservations Systems (CRS),,,Canada,1Q,
JR Technologies Ireland,,,,,Ireland,1R,
"Sabre, Inc.",,IATA designator changed from 1WComputer Reservation System,SBG,,United States of America,1S,153
Hitit Bilgisayar Hizmetleri A.S.,,Computer Reservation System,,,Turkey,1T,
"ITA Software, Inc.",,Computer Reservation System,,,United States of America,1U,968
CTW Consulting,,Computer Reservation System,,,Canada,1W,
Fly Branson Travel d/b/a Branson Air Express,,Computer Reservations Systems CRS),,,United States of America,1X,
DXC Technology Services LLC,,Formed by the merger of Electronic Data Systems Corporation and Computer Sciences Corporation.Computer Reservation System,,,United States of America,1Y,
Bird Information Systems Private Limited,,Computer Reservation System,,,India,1Z,
Deutsche Bahn AG,,ICAO designator DBB cancelledRailway Service,,,Germany,2A,
Albawings sh.p.k.,,,AWT,Albawings,Albania,2B,654
SNCF,,ICAO Designator TGV cancelled.Railway Service,,,France,2C,
"Eastern Airlines, LLC",054,"Name changed from Dynamic International Airways, LLC w.e.f. 25 June 2018.Founded in 2010.",EAL,Eastern,United States of America,2D,054
"Smokey Bay Air, Inc.",,,,,United States of America,2E,
Fair Aviation (PTY) Ltd. t/a Fair Aviation,,,,,South Africa,2F,
"Open Joint Stock Company ""Angara Airlines""",,,AGU,Sarma,Russian Federation,2G,735
"West Isle Air, Inc. d/b/a San Juan Airlines",,"Name changed from Northwest Seaplanes, Inc. d/b/a San Juan AirlinesPrevious name changed from Northwest Seaplanes, Inc.",MRR,Mariner,United States of America,2G,
Thalys International,,Designator 2H* reinstated by IATARailway Service,,,Belgium,2H,056
Star Up S.A. dba Star Peru,156,"Name changed from Star Up, S.A.",SRU,Star-up,Peru,2I,156
21 Air LLC,681,,CSB,Cargo South,United States of America,2I,
Air Burkina,,IATA designator changed from VH,VBW,Burkina,Burkina Faso,2J,226
Avianca Ecuador d/b/a Avianca,,Name changed from Aerolineas Galapagos S.A. AeroGal w.e.f. 18 June 2014.IATA Designator changed from 2K,GLG,Galapagos,Ecuador,2K,547
Helvetic Airways AG,,ICAO Callsign changed from Arabella. Name changed from Odette Airways AG.,OAW,Helvetic,Switzerland,2L,102
Transportes Aereos Bolivianos (TAB),901,,BOL,Bol,Bolivia,2L,
Maya Island Air,,IATA designator changed from MY,MYD,Myland,Belize,2M,391
Redemption Inc.,,,,,,2O,
Air Philippines Corporation d/b/a PAL Express and Airphil Express,211,Name changed from Air Philippines Corporation. W.e.f. 15 March 2013.IATA designator changed from 3G*. ICAO callsign changed from Orient Pacific. Designator 2P reinstated by IATA,GAP,Airphil,Philippines,2P,211
Puerto Rico Air Management Service Inc,902,Designator 2P* restated by IATA,,,Puerto Rico,2P,
"Air Cargo Carriers, LLC.",,Designator 2Q reinstated by IATAIATA designator changed from 3U,SNC,Night Cargo,United States of America,2Q,
"VIA Rail Canada, Inc.",,ICAO designator VRR cancelled. Accounting Code 830 recalled by IATARailway Service,,,Canada,2R,
Air Carnival Private Limited,,,ACV,Carnair,India,2S,
Turbo Mega Airways Pvt. Ltd. t/a trujet,,,TRJ,Trujet,India,2T,
Kenya homes Limited d/b/a Timbis Air Services,212,,TBS,Timbis,Kenya,2T,
Sun d'Or International Airlines,,"As of March 2013, all Sun d'Or's flights are operated by El Al under Sun d'Or, Arkia and Israir brand. Authorities revoked operating licence. Ceased operations 01 April 2011Designator 2U restated/changed by IATA",ERO,Echo Romeo,Israel,2U,383
Amtrak,,,,,United States of America,2V,554
Multiple Solutions Limited,224,,,,Kenya,2W,
PT. My Indo Airlines,585,,MYU,Indo,Indonesia,2Y,
"Passaredo Transportes Aereos, S.A.",,IATA designator chnaged to 2Z,PTB,Passaredo,Brazil,2Z,678
Kenosha Aero. Inc. d/b/a Alliance Airlines,317,,,,United States of America,3A,
Chu Kong Passanger Transport Co. Ltd.,,,,,Hong Kong,3A,028
Binter Cabo Verde,,,NTB,Morabeza,Cabo Verde Islands,3B,
Job Air s.r.o. (Central Connect Airlines),,Part of the Central Connect Group.,JBR,Jobair,Czech Republic,3B,
Air Chathams Limited t/a Air Chathams,,IATA designator changed from CV*.,CVA,Chatham,New Zealand,3C,
Calima Aviación S.L.,,,CMV,Calima,Spain,3C,507
Dokasch GmBH,,Non-Airline Unit Load Devices (ULD) company,,,Germany,3D,
"Multi-Aero, Inc. d/b/a Air Choice One",,"ICAO designator changed from WBR w.e.f. 01 Febraury 2019. Name changed from Multi-Aero, Inc.",ACO,Weber,United States of America,3E,122
East Asia Airlines Limited,,,EMU,,Macau,3E,
